Course_Identification,Title_Long_Description,Course_Description
HPROB320,Chronic Disease and Risk Reduction,The study of those diseases of long duration and slow progression and the means by which their societal burden can be reduced.
HPROB321,Fundamentals of Occupational Health and Safety,"An?introductory?course?covering?major?issues?in?occupational?health?and?safety,?with?an?emphasis?on?the?identification,?evaluation?and?control?of?physical,?chemical,?biological?and?behavioral?factors?often?present?in?the?workplace?and?pose?a?risk?for?illness,?injury?and?death.?As?people?typically?work?at?least?40?hours?per?week?for?most?of?their?adult?lives,?the?workplace?has?the?potential?to?significantly?impact?human?health?and?wellbeing."
HPROB323,Introduction to Exercise and Sports Science,(Prereq: BIO243 Anatomy and Physiology I and BIO244 Anatomy and Physiology II) This course is designed to examine the disciplines in the broad field of exercise science. An overview of the knowledge and skills needed to become a certified personal trainer (CPT) will be provided.
HPROB330,Principles of Epidemiology,"The study of the patterns, causes and effects of health and disease."
HPROB340,Introduction of Environmental Health,"The study of environmental factors, be they physical, chemical, biological or behavioral, that have the potential to adversely impact human and/or ecological health."
HPROB360,Health Behavior and Education,The study of the behavioral and social factors that influence health and disease. Models of health behavior theory will be presented. Methods for preparation of health education curricula will be discussed.
HPROB370,Wellness in Health Promotion,"The study of the roles of nutrition, exercise, hygiene and rest in the prevention of disease and the achievement of optimal health."
HPROB380,Research Methods in Health Promotion,"A course designed to impart knowledge and skills regarding the design, implementation, analysis and interpretation of research in the field of health promotion."
HPROB390,Field Experience in Health Promotion,(Prerequisite: HPRO B310 and Junior Status) A period of introductory work-related education that allows students to reinforce classroom learning while gaining practical experience in a supervised setting where health promotion principles are applied.
HPROB395,Global Healthcare Study Abroad,Provides students the opportunity to engage in global health fieldwork in an international service learning setting. Faculty collaborate with international partners to develop customized global healthcare immersion experiences.
HPROB400,Global Health Promotion,The study of health and disease among geographically diverse populations and the role of cultural variation in determining health prevention strategies.
HPROB401,Health Care Delivery Systems,"{? NURS B401} Systems theory, health care delivery systems conceptualize transitions from one level of care to another, with emphasis on ethical and legal issues; technology; historical, political, economic aspects to meet the health care needs of the population."
HPROB410,Examining Health Inequalities,This course is designed to examine health disparities and associated social determinants of health in the U.S. Also included is an exploration of multi-level intervention strategies for reducing health disparities.
HPROB420,Leadership and Management in Health,"This course is designed to enhance leadership and management skills needed to design, implement and evaluate health promotion programs."
HPROB450,Health Promotion Program Development," A study of methods used to develop effective health promotion and education programs which help enable individuals prevent, delay and treat disease."
HPROB460,Health Promotion Program Evaluation,A study of evaluation methods used to assess the potential impacts of health promotion programs.
HPROB461,Writing Professions in the Health Professions,"Preparation for and practice in types of writing important to those working within the health care and health promotion industry, from brief letters to formal articles and reports."
HPROB480,Internship in Health Promotion,A period of work-related education that allows students to reinforce classroom learning while gaining practical experience in a supervised setting where health promotion principles are applied.
HPROB490,Senior Seminar in Health Promotion,A capstone course that summarizes the experiences of the health promotion major and prepares students for employment and/or graduate study.
HRTMB110,Introduction to Hospitality Industry,"History, growth, developments and future opportunities in the hospitality industry."
HRTMB201,Introduction to Sport and Event Management,This course introduces the student to the sport management profession. Industry employment opportunities along with requisite professional skills are reviewed.
HRTMB210,Introduction to Event Management,This course provides an overview of producing community oriented special events.
HRTMB215,Introduction to Spa Management,"This course explores the world of spas including spa history, spa types, current trends and growth, and issues affecting spas, spa managers and spa clients."
HRTMB221,Hospitality Accounting I,Accounting for the hospitality organizations accentuating an understanding of financial accounting and financial management for hospitality organizations.
HRTMB222,Hospitality Accounting II,The use of managerial accounting principles in decision-making processes with a focus on controlling costs and optimizing profitability for hospitality businesses. 
HRTMB228,Purchasing and Controls,"A study of the major foods, beverages and supplies that are purchased in hotels, motels and food-service establishments as well as techniques on how to control their distribution within the operation."
HRTMB230,Hospitality Management,Tools available to management and their utilization in the hospitality industry.
HRTMB235,Destination Marketing,"The application of marketing management and best practices to Hospitality destination development.  Also examined will be the structures of destination marketing organizations, funding sources, and  operations."
HRTMB240,Event Promotion,"This course provides an overview of marketing, promotion, and sponsorship strategies for events both large and small and teaches students the techniques to accomplish the strategies."
HRTMB242,Nutrition,"Introductory course on human nutrition. Includes principles of normal nutrition, basics of life cycle nutrition, relationship of nutrients to health and disease, and discussion of current issues."
HRTMB245,Professional Development in Hospitality Management,Course focuses on preparing students for successful job searches and thriving in entry-level management positions in the hospitality industry.
HRTMB260,Hotel Management,"Management of the lodging phase of the hospitality industry to include front desk, housekeeping and maintenance areas."
HRTMB265,Principles of Hospitality Retail Management,"Management methods, location analysis, store organization, personnel, planning, buying and pricing techniques and customer service policies for retail firms; including retail outlets in hotels, restaurants, private clubs and recreation facilitates catering to golf and tennis."
HRTMB270,Quantity Food Production,"(Co-requisite HRTM B311 and B312 - all three must be taken together) The basics of food production from storeroom to consumer. Various techniques of storage, preparation, merchandising and menu-planning, as well as the many aspects of service. Lectures and laboratory hours."
HRTMB272,Principles of Food Cost Controls,Management of food cost controls in the food service industry.
HRTMB280,Tourism,Economic and social relationships between tourism and the hospitality industry.
HRTMB285,Club Management (Abeyance/HRTM B385),Unique problems and issues associated with private club management.
HRTMB290,Practicum,"Supervised full-time work experience in an area of the hospitality industry, selected by the student and approved by the practicum coordinator."
HRTMB295,History and Influence of French Gastronomy,"A culinary and gastronomical study of France from its medieval age to the present (this course will count toward the French Minor, However, only one course taught in English can be applied to the French Minor)."
HRTMB301,Cruise Line Management,"An overviewof the cruise line industry, its organization, impacts upon ports of call and destinations, and the skills needed to begin a productive career in this specialized travel segment."
HRTMB311,Principles of Food Service Sanitation,Business and regulatory practices relevant to a sanitary food service environment.
HRTMB312,Management by Menu,"Analysis, pricing constraints and mechanics of the menu."
HRTMB313,Internal Training and Development,Principles of effective in-house training programs in the hospitality/travel industry.
HRTMB315,Wellness Trends in Hospitality,This course explores the concept of wellness and identifies key trends affecting the hospitality industry. Topics include the six dimensions of wellness.
HRTMB320,Sports Nutrition,"(Prerequisite: HRTM B242) The study of the association between nutrition and exercise performance. Metabolism of carbohydrates, fats, proteins, vitamins, minerals and water and its effect on athletic training is emphasized. Nutrition assessment of athletes, how to measure body composition, and the use of and controversy over ergogenic aids are explored."
HRTMB328,HRTM Accounting,Accounting trends and controls for the hospitality industry from a managerial point of view.
HRTMB330,Quality Evaluation and Management for Hospitality,"Course focuses on introducing students to advanced service management concepts including the development of service standards, service quality evaluation and quality management in a hospitality setting."
HRTMB335,Hospitality Delivery Systems for the Indigent,The management of food and lodging delivery systems for the indigent.
HRTMB345,Festival and Community Event Planning,"This course provides an overview of planning, producing, and managing community oriented special events."
HRTMB350,Wedding and Special Event Management,This course provides an overview of producing weddings and other special events.
HRTMB352,Software Applications for the Hospitality Industry,Using microcomputer software in various areas of the hospitality industry.
HRTMB355,Physical Plant Design,"Design, equipment and maintenance of hospitality facilities."
HRTMB357,"Hotel, Restaurant and Travel Law","A comprehensive overview of laws and regulatory agencies governing the lodging, food service and travel industries."
HRTMB360,"Food, Hospitality and Culture",Cultural factors affecting food habits and hospitality needs of populations throughout the world.
HRTMB364,Conference and Meeting Planning,(Prereq: HRTM B260) Planning and managing conferences and meetings in the tourism industry.
HRTMB370,Restaurant Food Production Management,Management techniques and operating problems in food service operations.
HRTMB390,Careers in Hospitality/Tourism,Career options concurrent with the placement process.
HRTMB399,Independent Study in Hospitality Management,"HRTM B399 - INDEPENDENT STUDY (1-6). Contract approval by instructor, advisor, Department Chair and Executive Vice Chancellor for Academic Affairs is required."
HRTMB401,NULL,NULL
HRTMB410A,Hospitality Current Issues: Resort and Condominium Management,Issues and problems concerning the hospitality industry.
HRTMB410B,HospitalityCurrent Issues: Destination Management,Issues and problems concerning the hospitality industry.
HRTMB421,Finance and Revenue Management for Hospitality,"Analytical skill building with a focus on revenue optimization, forecasting, strategic pricing, and distribution channel management. Students will practice using key ratios and other benchmarking indicators for evaluation of financial health for hospitality organizations."
HRTMB440,Services Management for Hospitality and Tourism,(Prereq: ECON B221 and 222; BMGT 371) Management issues pertinent to quality service delivery in hospitality and tourism organizations.
HRTMB445,Food and Sanitation Microbiology,(Prereq: BIOL B120 or permission of instructor) Micro-organisms and their effect on the quality of food and water. Two lecture and two laboratory hours per week.
HRTMB447,Food Science,"(Prereq: HRTM B340) The effects of cooking, processing and storage of food on nutrient content, sensory perception and functionality. Two lecture and two laboratory hours per week."
HRTMB450,Hospitality Marketing Sales,(Prereq: BHRM 235) Application of marketing principles and promotional techniques to the hospitality and travel industry.
HRTMB451,Human Resources in Hospitality Management,"(Prerequisites: HRTM B110 and HRTM B230) A specialized approach to human resources management in the hospitality industry. Students will analyze contemporary issues and practices, as well as the trends that transform the way people are managed specifically within the hospitality industry.  "
HRTMB473,Club Cuisine and Service,(Prereq: HRTM B370 or B372) Advanced topics in the management of production and service techniques for private clubs.
HRTMB475,"Wines, Spirits, Beers and Non-Alcoholic Beverages in Food Service Establishments",Management overview and operating problems of beverages in the hospitality industry.
HRTMB485,Advanced Club Management,(Prereq. HRTM B285 or permission of instructor) Advanced topics in hospitality management for the club industry.
HRTMB490,Hospitality Management Strategies,Contemporary management strategies applied to the hospitality industry.
HRTMB491,Club Management Internship,(Prereq: HRTM B285) Placement with a private club for a controlled learning experience. Minimum requirement of 400 work hours.
HRTMB495,Hospitality Management Internship,"Structured industry practical experience in a hospitality management company at the supervisory level. A contract approved by the instructor, advisor and department chair is required for undergraduate students. Minimum of 400 hours."
HRTMB498,Special Topics in Hospitality,"Advanced concepts, issues and trends in the hospitality and tourism industry. Variable hours between 1-3 credits. May be repeated for up to 6 credit hours."
IDSTB250,Interdisciplinary Studies Internship,"(Prerequisite: IDST Major or Minor only, IDST B297, or consent of instructor) Provides students with the opportunity to apply interdisciplinary research skills across culturally diverse populations in a professional setting. Minimum requirement of 150 service hours. Can be repeated once.  "
IDSTB497,Seminar in Interdisciplinary Studies Among the Disciplines,(Prerequisite: Senior standing in Interdisciplinary Studies or consent of the instructor)
INTLB401,NULL,NULL
IDSTB260,Introduction to Medical and Health Humanities,"(Prerequisite: ENGL B101 or B105 & B102 or B106, each with a grade of C or higher) An interdisciplinary course designed for students to focus on the broadly encompassing field of health and medicine from the perspective of the humanities."
IDSTB297,Interdisciplinary Resarch Methods,"(Prerequisite: 45 hours of General Studies and acceptance in the Interdisciplinary Major or Minor Program) Introduction to individualized study including initial development of course study proposal, review of courses, and bibliography."
IDSTB305,Integrated Interdisciplinary Studies I,(Prerequisite: IDST B297; permission of instructor) Students identify two courses in two different disciplines that have a correlative relationship beneficial to the student's course of study. Student proposal of integrative study due pre-enrollment. Can be repeated up to four credit hours.
IDSTB320,Yoga Disciplines & Practice,(Prerequisite: Sophomore Standing) A broad introduction to the physical and philosophical practice of yoga. Examination of historical yogic texts and application of ideas in modern society via community outreach component. 
IDSTB325,Sports & The Humanities,Analyzation of the role of sports in the humanities. Emphasis on social and cultural importance of sports in humanistic study. 
IDSTB330,Cultural Historiography,(Prerequisite: Students must be classified as a junior or senior) Intensive interdisciplinary study of selected topics regarding cultural history with empirical research component. Open to all majors. Can be repeated up to two times (6 credit hours). Topic reflected in section number. Maymester only.
IDSTB331,Topics in Cultural Historiography,"(Prerequisite: ENGL B101 or B105, and B102 or B106, each with a grade of 'C' or higher) Intensive interdisciplinary study of selected topics regarding cultural history. Open to all majors. Can be repeated up to two times (6 credit hours). Topic reflected in section number."
IDSTB351,Beyond the Classroom: Community Project I,"Prerequisite: Interdisciplinary Studies major or approval of instructor, junior standing) Explores foundations of service learning. Theoretical approach to design and implementation of service learning project in and around the university, with emphasis on community outreach."
IDSTB352,Beyond the Classroom: Community Project II,"The application of theoretical foundations and service learning in a community project designed in IDST B351, implemented as individual or group project."
IDSTB363,Philosophy of Film,"{?PHIL B363} (Prerequisite: ENGL B101 or B105, and B102 or B106) Interdisciplinary course with emphasis on topical study of film theory, the aesthetics of film as an art form, the social impact and relevance of film."
IDSTB397,Readings in Philosophy,{?PHIL B397} (Prerequisite: Junior standing and completion of General Education English and Humanities requirements) A systematic study of a primary source in philosophy having relevance to other disciplines. Can be conducted as a small course or as a tutorial. May be taken twice for credit.
IDSTB399,"Sports Management: Administration, Operations, and Marketing at Collegiate Level",(Prerequisite: Contract approval is required)
IDSTB405,Integrated Interdisciplinary Studies II,(Prerequisite: IDST B297; permission of instructor) Students identify two courses in two different disciplines that have a correlative relationship beneficial to the student's course of study. Student proposal of integrative study due pre-enrollment. Can be repeated up to four credit hours.
IDSTB439,Selected Topics,(Prerequisite: ENGL B102 or B106 with a grade of 'C' or higher) Intensive interdisciplinary study of selected themes or topics as defined by the title. May be repeated for credit under a different topic title.
ISATB102,Introduction to HTML and CSS,Introduction to systematic computer problem-solving and programming for a variety of applications. Open to all majors.
ISATB104,Software Design and Development,Develop a basic competence in scientific computing using the Matlab programming language. Previous programming experience is not required.
ISATB145,Object-Oriented Programming I,"{?CSCI B145} (Prerequisite: Placement in MATH B141 or grade of C or better in MATH B115) Problem solving, algorithmic design and programming. Three lectures and two laboratory hours per week. Open to all majors."
ISATB146,Algorithmic Design II,Continuation of ISAT B145. Rigorous development of algorithms and computer programs; elementary data structures. Three lecture hours and two laboratory hours per week. Open to all majors.
ISATB150,Introduction to Computer Science,"{?CSCI B150} (Prerequisite: two years of college preparatory mathematics or equivalent) Topics include computing theories, programming languages, modeling/simulation and visualization tools, and case studies of problem solving and high performance computing in natural sciences."
ISATB201,Introduction to Computer Security,"{?CSCI B201} (Prerequisite or Co-requisite: CSCI B101 or consent of instructor) Introduction to the theory and practice of computer security, including security policies, authentication, digital certificates, firewalls, malicious code, legal and ethical issues, and incident handling."
ISATB202,Introduction to Front-End Web Development,"(Prerequisites: CSCI B145 & CSCI B150) Application of programming techniques to the development of interactive, event-driven web applications. Brief coverage of document markup (HTML) and styling (CSS)  essentials, followed by significant coverage of scripting languages, libraries, and frameworks for manipulating the Document Object Model. "
ISATB207,Computer System Administration,"(Prerequisite: CSCI B145 & CSCI B150) Account maintenance, backups, restoration, system configuration, resource allocation and monitoring, network management, peripheral administration, emphasis on Microsoft Windows and UNIX/Linux systems. "
ISATB211,Digital Logic Design,"{?CSCI B211} (Prerequisite: MATH B141 or B174) Number systems, Boolean algebra, logic design, sequential machines."
ISATB212,Introduction to Computer Architecture,"(Prerequisite: CSCI B211) Organization and architecture of computer systems hardware; instruction set architectures; addressing modes; register transfer notation; processor design and computer arithmetic; memory systems; hardware implementations of virtual memory, and input/output control and devices. "
ISATB240,Introduction to Software Engineering,{?CSCI B240} (Prerequisite: ISAT B145 or consent of instructor) Fundamentals of software design and development; software implementation strategies; object-oriented design techniques; ethics in software development.
ISATB250,Mobile Application Development,"{?CSCI B250} (Prerequisite: CSCI B145 with grade of C or better, or consent.) Introduction to Mobile application development fundamentals including development platforms, user interface design, data persistence, map Application Programming Interface."
ISATB255,Introduction to Computational Biology,"{?CSCI B255} (Prerequisite: CSCI B104 or BIOL B101 or consent) Introduction to the Linux operating system, an introduction to computational tools used in exploring and analyzing biological data."
ISATB265,"Graphics, Multimedia and User-Interface Design","{?CSCI B265} (Prerequisite: CSCI/MATH B280 or MATH B230, and CSCI B145 or consent.) Principles of windowing systems; Graphical interface design and implementation; Processing graphical data using a high level programming language."
ISATB280,Computational Mathematics,"{?CSCI B280, MATH B280} (Prerequisite: MATH B142 and CSCI B104 or consent of instructor) Fundamental concepts selected from linear algebra and differential equations applicable to Computational Science. Major topics include systems of linear equations, diagonalization, and numerical solutions to differential equations. The focus is on computational methods and programming skills that will be implemented in a variety of science and engineering disciplines."
ISATB317,Introduction to Digital Forensics,"{?CSCI B317} (Prerequisite: CSCI B201/ISAT B201 or Permission of Instructor) This course will provide students with an introduction to the field of digital forensics and e-discovery. Topics to be covered include the scientific method of digital forensics, electronic discovery, legal issues related to digital analysis, and mobile technologies. Students will learn basic procedures and requirements for conducting digital forensics on a variety of platforms, including Windows, iOS, and Android devices. "
ISATB318,Ethical Hacking,"(Prerequisite: ISAT B201) Introduction to the principles and techniques associated with the cybersecurity practice known as penetration testing or ethical hacking. The course covers planning, reconnaissance, scanning, exploitation, post-exploitation, and result reporting. The student discovers how system vulnerabilities can be exploited and learns to avoid such problems. "
ISATB320,Database Management Systems I,"{?CSCI B320} (Prerequisite: CSCI B145 or consent) Provides foundations of database systems for students with little prior database experience; topics include relational algebra, data models, schema design and normalization, storage management, query, transaction, concurrency control and consistency."
ISATB321,Database-Driven Applications Development,"{?CSCI B321} (Prerequisite: CSCI B145 and CSCI B320) Development of data-driven software for devices including smart phones, tablets, handheld units, and other general purpose computing platforms. Emphasis on database connectivity, design patterns, human-computer interfaces and usability."
ISATB350,Introduction to Data Structures and Algorithms,"{?CSCI B350} (Prerequisite: CSCI/MATH B280 [or MATH B230 and MATH B242], and CSCI B146 or consent) Core techniques in the scientific computing process; the focus is on numerical methods, data structures, and computing optimization."
ISATB365,Computer Graphics,"{?CSCI B365} (Prerequisite: CSCI B240 and CSCI/MATH B280 [or MATH B230] or consent.) Graphics pipeline; 2D and 3D geometric objects and transformations; 2D and 3D viewing, clipping, lighting, and rendering processes; Perspective projections; Lighting and reflectance models; Shading models; Hidden surface elimination; 3D curves and surfaces; Color perception and color models."
ISATB399,Independent Study,{?CSCI B399} (Prerequisite: Contract approval is required).
ISATB401,Information Security Principles,"(Prerequisite: CSCI B201) This course extends fundamental computer security concepts, practices, and issues, introducing students in the broader field of information security. Topics include: common attack/threat vectors; information security planning; information security prevention, detection, and response tools and approaches; risk and risk assessment; human factors in information security; legal, ethical, and professional issues. "
ISATB409,Special Topics in Security,"(Prerequisite: Consent of instructor) Intensive study of a particular topic in computing security, information security, or other aspects of cybersecurity. Course content varies and will be announced in the schedule of classes by topic title. May be repeated for credit under a different topic title. "
PHILB313,Philosophy of Art,"Philosophical problems relating to the arts, with emphasis on questions pertaining to aesthetic experience."
ISATB416,Introduction to Computer Networks,"{?CSCI B416} (Prerequisite: CSCI B145 or consent) Fundamental concepts in computer networks, protocols, and applications. Topics include: network architectures, transmission media, protocols, wireless networks, routing, security and latest topics."
ISATB420,Database Management Systems II,"(Prerequisite: CSCI B320) This course explores advanced data manipulation and server-side programming techniques for use in enterprise Relational Database Management Systems (RDBMS). Topics include: platform specific programmatic extensions to Structured Query Language (SQL); stored procedure, function, and package implementation; trigger creation and usage; query optimization techniques; security considerations. "
ISATB422,Introduction to Data Mining,"{?CSCI B422} (Prerequisite: MATH B230 or CSCI/MATH B280, STAT B340 and CSCI B320) Introduction to information processing techniques and mathematical tools to assemble, access, and analyze data for decision support and knowledge discovery."
ISATB426,Special Topics in Computer Networks & Distributed Computing,"{?CSCI B426} (Prerequisite: CSCI B416) Advanced topics in Computer Networks, course content varies and will be announced in the schedule of classes by suffix and title. May be repeated under different topics."
ISATB437,Information Technology Project Management,"(Prerequisite: CSCI/ISAT B207 and MGMT B371, or consent of instructor) This course introduces students to project management concepts, techniques, and tools used by project managers to plan, initiate, manage and close information technology projects. Topics include: the systems approach to project management; application of a project management framework to the planning and management of scope, cost, people, expectations, risk, communications, and procurement; agile methodologies; project management software.  "
ISATB450,Modeling and Simulation,"{?CSCI B450} (Prerequisite: CSCI B350 or consent, and STAT B340) An introduction to modeling and simulation. Topics include fundamental techniques in designing, coding, and use of simulation software to represent actual or theoretical systems in order to observe their behavior and evaluate design correctness."
ISATB469,High Performance Computing,"{?CSCI B469} (Prerequisite: CSCI B104 or CSCI B145, MATH B230 or CSCI/MATH B280, and CSCI B150) Architecture and interconnection of parallel computers; parallel programming models and applications; issues in high performance computing; programming of parallel computers; general purpose GPU programming and applications."
ISATB470,Software System Process & Management,"{?CSCI B470} (Prerequisite: CSCI B350 or consent) Testing theory and techniques for software systems; software development process, specification, black-box and white-box testing, configuration and compatibility testing, usability testing, quality assurance, testing planning, and documentation."
ISATB499,Computer Science Co-Op/Internship,"{?CSCI B499} (Prerequisite: Computational Science major or consent of instructor) Practical full-time work experience in an area of Computational Science, selected by the student and approved by the Department Chair or Computational Science Program Coordinator. For 1 credit, 45 minimum internship work hours required; for 2 credits, 90 work hours, and for 3 credits, 135 work hours."
LANGB101,Integrated Linguistic Skills for Native Speakers I Integrated Linguistic Skills Native Speakers I,Introduction to foreign language linguistic skills (beginning level 1) with stress on effective communication in both written and spoken language as well as reading comprehension and an understanding of cultural practices for academic purposes. 
PSYCB406,History and Systems of Psychology,(Prereq: 9 hours in psychology at 300 level or above) Systematic approaches to psychology and the history of psychology
LANGB102,Integrated Linguistics Skills Native Speakers II,Continuation (beginning level 2) of foreign language linguistic skills with stress on effective communication in both written and spoken language as well as reading comprehension and an understanding of cultural practices for academic purposes. 
LANGB201,Integrated Linguistic Skills Native Speakers III,Continuation (intermediate level 1) of foreign language linguistic skills with stress on effective communication in both written and spoken language as well as reading comprehension and an understanding of cultural practices for academic purposes. 
LBSTB250,Liberal Studies Internship,Provides students with the opportunity to apply interdisciplinary research skills across culturally diverse populations in a professional setting. Minimum requirement of 150 service hours.
LBSTB260,Introduction to Medical and Health Humanities,An interdisciplinary course designed for students to focus on the broadly encompassing field of health and medicine from the perspective of the humanities.
LBSTB297,Interdisciplinary Research Methods,"(Prerequisite: 45 hours of General Studies and acceptance into Interdisciplinary Major and Minor Programs). Introduction to individualized study including initial development or course of study proposal, review of courses, and bibliography."
LBSTB305,Integrated Liberal Studies I,Students identify two courses in two different disciplines that have a correlative relationship beneficial to student?s course of study. Student proposal of integrative study due pre-enrollment. Can be repeated up to four credit hours. (pre-requisite: LBST 297; permission of instructor)
LBSTB330,Cultural Historiography,Intensive interdisciplinary study of selected topics regarding cultural history with empirical research component. Open to all majors. Can be repeated up to two time (6 credit hours). Topic reflected in section number. Maymester only.
LBSTB331,Topics in Cultural Historiography,"(Prerequisite: ENGL B101 or B105, and B102 or B106, each with a grade of ?C? or higher)  Intensive interdisciplinary study of selected topics regarding cultural history. Open to all majors. Can be repeated up to two times (6 credit hours). Topic reflected in section number."
LBSTB351,Beyond the Classroom: Community Project I,"Explores foundations of service learning. Theoretical approach to design and implementation of service learning project in and around the university, with emphasis on community outreach.  Pre-requisite:  LBST major or approval of instructor. Junior standing."
LBSTB352,Beyond the Classroom: Community Project II,"The application of theoretical foundations and service learning in an a community project designed in LBST 351, implemented as individual or group project."
LBSTB363,Philosophy of Film,"{?PHIL B363}  (Prerequisite: ENGL B101/B105 and ENGL B102/B106)  Interdisciplinary course with emphasis on topical study of film theory, the aesthetics of film as an art form, the social impact and relevance of film."
LBSTB397,Readings in Philosophy,(=PHIL B397) (PREREQ: junior standing and completion of  General Education English and Humanities requirements) A systematic study of a primary source in philosophy having relevance to other disciplines.  Can be conducted as a small course or as a tutorial.  May be taken twice for credit.
LBSTB399,Independent Study,(Prerequisite: Contract approval is required.)
LBSTB405,Integrated Liberal Studies II,Students identify two courses in two different disciplines that have a correlative relationship beneficial to student?s course of study. Student proposal of integrative study due pre-enrollment. Can be repeated up to four credit hours.  Pre-requisite: LBST 297; permission of instructor.
LBSTB439,Selected Topics,"(Prerequisite: ENGL B102 or B106 with a grade of ""C"" or higher) Intensive interdisciplinary study of selected themes or topics as defined by title. May be repeated for credit under a different topic title."
LBSTB497,Seminar in Liberal Studies among the Disciplines,Prereq: Senior standing in Liberal Studies or consent of the instructor.
LINGB385,Gender and Language Use,{=ANTH 385}  The course will explore an approach to gender and language use that emphasizes the grounding in social practice of both.
LINGB431,Development of the English Language,"{=ENGL 453}  English from Indo-European through Germanic and into Old English, Middle English and Modern English. No previous knowledge of Old English or Middle English is required."
MARTB102,Media Design,"Fundamental conceptual and technical aspects of designing popular media, including an introduction to digital compositing, time-based media, and interactive media."
MARTB145,Digital Imaging,"Foundations class on the aesthetic and communicative elements of digital image production, including 2D computer graphics, 3D motion graphics, and coding for media designers. "
MARTB201,History of Animation in the US,"{? ARTH B201} A survey of popular animation in the United States, from early 20th century film to contemporary digital media, with an introduction to animation techniques using computer software."
MARTB210,Digital Animation 1,"Introduction to the theory and practice of using computer software to create animated digital media, including 3D character animation."
MARTB250,Broadcast Design 1,"Introduction to the design and production of media for documentary style broadcasting, including storyboarding, virtual sets, digital cinematography, video editing, and motion graphics."
MARTB281,Video Game Design 1,"Introduction to the theory and practice of using computer software to design interactive digital media, including a first-person 3D video game."
MARTB310,Digital Animation 2,"(Prerequisite: MART B210) Intermediate project-based course on a specialized aspect of digital animation production, including 3D modeling, character animation, or special effects."
MARTB350,Broadcast Design 2,"Intermediate course on a specialized aspect of designing digital media for a documentary style television broadcast, such as virtual sets, digital cinematography, 3D motion graphics, or special effects."
MARTB375,Digital Fabrication,"An introduction to emerging technologies relating to rapid prototyping processes, this course focuses on three-dimensional printing and other computer controlled technologies pertaining to the design and fabrication of a sculptural object and/or design."
MARTB380,New Media Art,"Introduction to the design and development of new media art, including internet-based art, media performance, installation, and interactivity."
MARTB381,Video Game Design 2,"(Prerequisite: MART B281) Intermediate project-based course on a specialized aspect of 3D video game production, including art assets, level design, or coding events."
MARTB385,Emerging Technologies,"This course focuses on the use of hardware and software to create artwork that has elements of interactivity, time-based functionality and code manipulation.  Other topics include: DIY movements, microprocessors, and installation art."
MARTB410,Narrative Media,"MART B410 - NARRATIVE MEDIA (3). Advanced project-based course on telling a story through moving pictures, including taking a script through the 3D production process to a festival quality short animation.  Pre-requisite: MART B310 or permission of instructor."
THEAB303,Asian Theaters,"A survey of the theatrical genres and practices of Japan, China, Indonesia, and India."
MARTB481,Performative Media,"Advanced project-based course on the design and practice of media performance, including the development of interactive virtual characters and environments for a live stage production.  Pre-requisite: MART B381 or permission of instructor."
MARTB499,Internship in Media Arts,"Supervised experience in media production facilities. Can be taken for 1-3 credits based on 50 contact hours per credit, and contract must be approved by instructor, advisor, and department head.  Pre-requisite: Signed contract and, MART B310 or B381 or permission of instructor."
MATHB101,Experiential Mathematics and Computation,"(Prereq. Mathematics Placement Exam and two years of high school algebra or equivalent) Mathematics application and appreciation in algebra, geometry, probability and statistics. Modeling and computation in practical applications. Foundational topics are chosen from: Number and Measurement Systems, Symbolic Relationships, Data Description or Analysis, Geometry, Uncertainty, Reasoning, and the Mathematics of Finance. This course serves as a prerequisite for no other BMTH courses."
MATHB111,College Algebra,"(Prereq: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions, exponential and logarithmic functions, systems of equations. Credit may not be received for both MATH B111 and B111L."
MATHB111E,College Algebra Extension,"Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions, exponential and logarithmic functions, systems of equations. This extension lab provides supervised practice of skills necessary for proficiency in college-level algebra. Required for enrollment in MATH B111 without an appropriate score on the Mathematics Placement Exam."
MATHB111L,Intensive College Algebra,"(Prereq: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions, exponential and logarithmic functions, systems of equations. Course taught in intensive 3 hours and 45 minute per week format. Credit may not be received for both MATH B111L and B111."
MATHB115,Precalculus Mathematics,"(Prereq: qualification through placement or a grade of C or better in 111 or 111L) Topics in algebra and trigonometry specifically needed for BMTH 141, 142, 240. Polynomial, rational, inverse, logarithmic, exponential functions;  circular functions; analytic trigonometry."
MATHB122,Calculus for Business Administration and Social Sciences,"(Prereq: qualification through placement or a grade of C or better in BMTH 111/111L or consent) Derivatives and integrals of elementary algebraic, exponential and logarithmic functions. Maxima, minima, rate of change, and area under a curve. Applications include marginality and elasticity of demand."
MATHB131,Introductory Mathematics for Comutational Science,"(Prereq: Qualification through placement or a grade of C or better in BMTH 111/111L or consent) Sets, functions, analytic geometry, matrices and Euclidean spaces, infinites series, approximation, precision and error, counting and probability, graphs and trees; fundamental notions of differential and integral calculus."
MATHB141,Calculus I,"(Prereq: qualification through placement or a grade of C or better in BMTH 115) Introduction to fundamental concepts and theorems of limits, continuity, and derivatives; rates of change; differentiation rules for algebraic and transcendental functions, including the chain rule; applications of derivatives; introduction to integration, including the Fundamental Theorem of Calculus and u-substitution; areas between curves."
