Academic Term,Course Campus,Course Identification,Subject,Subject Description,Course Number,Status,Status Description,Schedule Type,College,College Description,Dept,Department Description,Minimum Credit,Maximum Credit,Title Short Description,Title Long Description,Course Description,Default Grade Mode Description
Fall 2023,Beaufort,ISATB365,ISAT,ISAT - Info Science & Tech,B365,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Computer Graphics,Computer Graphics,"{§CSCI B365} (Prerequisite: CSCI B240 and CSCI/MATH B280 [or MATH B230] or consent.) Graphics pipeline; 2D and 3D geometric objects and transformations; 2D and 3D viewing, clipping, lighting, and rendering processes; Perspective projections; Lighting and reflectance models; Shading models; Hidden surface elimination; 3D curves and surfaces; Color perception and color models.",Standard Letter
Fall 2023,Beaufort,ISATB399,ISAT,ISAT - Info Science & Tech,B399,A,Active,Independent Study,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,1,3,Independent Study,Independent Study,{§CSCI B399} (Prerequisite: Contract approval is required).,Standard Letter
Fall 2023,Beaufort,ISATB401,ISAT,ISAT - Info Science & Tech,B401,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Information Security Principle,Information Security Principles,"{§CSCI B401} (Prerequisite: CSCI B201) This course extends fundamental computer security concepts, practices, and issues, introducing students in the broader field of information security. Topics include: common attack/threat vectors; information security planning; information security prevention,
detection, and response tools and approaches; risk and risk assessment; human factors in information security; legal, ethical, and professional issues.",Standard Letter
Fall 2023,Beaufort,ISATB409,ISAT,ISAT - Info Science & Tech,B409,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Special Topics in Security,Special Topics in Security,"(Prerequisite: Consent of instructor) Intensive study of a particular topic in computing security, information security, or other aspects of cybersecurity. Course content varies and will be announced in the schedule of classes by topic title. May be repeated for credit under a different topic title.
",Standard Letter
Fall 2023,Beaufort,ISATB416,ISAT,ISAT - Info Science & Tech,B416,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Intro to Computer Networks,Introduction to Computer Networks,"{§CSCI B416} (Prerequisite: CSCI B145 or consent) Fundamental concepts in computer networks, protocols, and applications. Topics include: network architectures, transmission media, protocols, wireless networks, routing, security and latest topics.",Standard Letter
Fall 2023,Beaufort,ISATB420,ISAT,ISAT - Info Science & Tech,B420,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Database Mgmt Systems II,Database Management Systems II,"{§CSCI B420} (Prerequisite: CSCI B320) This course explores advanced data manipulation and server-side programming techniques for use in enterprise Relational Database Management Systems (RDBMS). Topics include: platform specific programmatic extensions to Structured Query Language (SQL); stored procedure, function, and package implementation; trigger creation and usage; query optimization techniques; security considerations.
",Standard Letter
Fall 2023,Beaufort,ISATB422,ISAT,ISAT - Info Science & Tech,B422,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Intro to Data Mining,Introduction to Data Mining,"{§CSCI B422} (Prerequisite: MATH B230 or CSCI/MATH B280, STAT B340 and CSCI B320) Introduction to information processing techniques and mathematical tools to assemble, access, and analyze data for decision support and knowledge discovery.",Standard Letter
Fall 2023,Beaufort,ISATB426,ISAT,ISAT - Info Science & Tech,B426,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Special Topics in Comp Network,Special Topics in Computer Networks & Distributed Computing,"{§CSCI B426} (Prerequisite: CSCI B416) Advanced topics in Computer Networks, course content varies and will be announced in the schedule of classes by suffix and title. May be repeated under different topics.",Standard Letter
Fall 2023,Beaufort,ISATB437,ISAT,ISAT - Info Science & Tech,B437,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Info Technology Project Mgmt,Information Technology Project Management,"{§CSCI B437} (Prerequisite: CSCI/ISAT B207 and MGMT B371, or consent of instructor) This course introduces students to project management concepts, techniques, and tools used by project managers to plan, initiate, manage and close information technology projects. Topics include: the systems approach to project management; application of a project management framework to the planning and management of scope, cost, people,
expectations, risk, communications, and procurement; agile methodologies; project management software.",Standard Letter
Fall 2023,Beaufort,ISATB450,ISAT,ISAT - Info Science & Tech,B450,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Modeling and Simulation,Modeling and Simulation,"{§CSCI B450} (Prerequisite: CSCI B350 or consent, and STAT B340) An introduction to modeling and simulation. Topics include fundamental techniques in designing, coding, and use of simulation software to represent actual or theoretical systems in order to observe their behavior and evaluate design correctness.",Standard Letter
Fall 2023,Beaufort,ISATB455,ISAT,ISAT - Info Science & Tech,B455,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Cryptography,Cryptography,"(Prerequisite: CSCI/ISAT B201, CSCI/ISAT B416, MATH B141, STAT B201 or B240 or B340, or consent of instructor.) Cryptography, secure encryption protocols, and the essential mathematics underlying encryption. Number theory, symmetric and asymmetric ciphers, hash functions, key management and distribution. Transport-level security and other forms of network and Internet security.",Standard Letter
Fall 2023,Beaufort,ISATB469,ISAT,ISAT - Info Science & Tech,B469,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,High Performance Computing,High Performance Computing,"{§CSCI B469} (Prerequisite: CSCI B104 or CSCI B145, MATH B230 or CSCI/MATH B280, and CSCI B150) Architecture and interconnection of parallel computers; parallel programming models and applications; issues in high performance computing; programming of parallel computers; general purpose GPU programming and applications.",Standard Letter
Fall 2023,Beaufort,ISATB470,ISAT,ISAT - Info Science & Tech,B470,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Software System Process,Software System Process & Management,"{§CSCI B470} (Prerequisite: CSCI B350 or consent) Testing theory and techniques for software systems; software development process, specification, black-box and white-box testing, configuration and compatibility testing, usability testing, quality assurance, testing planning, and documentation.
",Standard Letter
Fall 2023,Beaufort,ISATB499,ISAT,ISAT - Info Science & Tech,B499,A,Active,Internship / Cooperative,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,1,3,Comp Science Co-Op/Internship,Computer Science Co-Op/Internship,"{§CSCI B499} (Prerequisite: Computational Science major or consent of instructor) Practical full-time work experience in an area of Computational
Science, selected by the student and approved by the Department Chair or Computational Science Program Coordinator. For 1 credit, 45 minimum
internship work hours required; for 2 credits, 90 work hours, and for 3 credits, 135 work hours.",Pass/Fail
Fall 2023,Beaufort,LANGB101,LANG,LANG - Language Studies,B101,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,4,,Integrated Linguistic Skills I,"Integrated Linguistic Skills for Native Speakers I
Integrated Linguistic Skills Native Speakers I","Introduction to foreign language linguistic skills (beginning level 1) with stress on effective communication in both written and spoken language as well
as reading comprehension and an understanding of cultural practices for academic purposes.",Pass/Fail
Fall 2023,Beaufort,LANGB102,LANG,LANG - Language Studies,B102,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,4,,Integrated Linguistic Skill II,Integrated Linguistics Skills Native Speakers II,Continuation (beginning level 2) of foreign language linguistic skills with stress on effective communication in both written and spoken language as well as reading comprehension and an understanding of cultural practices for academic purposes.,Pass/Fail
Fall 2023,Beaufort,LANGB201,LANG,LANG - Language Studies,B201,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,4,,Integrate Linguistic Skill III,Integrated Linguistic Skills Native Speakers III,"Continuation (intermediate level 1) of foreign language linguistic skills with stress on effective communication in both written and spoken language as
well as reading comprehension and an understanding of cultural practices for academic purposes.",Pass/Fail
Fall 2023,Beaufort,LINGB385,LING,LING - Linguistics,B385,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Gender and Language Use,Gender and Language Use,"{§ANTH B385} The course will explore an approach to gender and language use that emphasizes the grounding in social practice of both. 
",Standard Letter
Fall 2023,Beaufort,LINGB431,LING,LING - Linguistics,B431,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2HSS,USC-B Humanities & Social Sci,3,,Devpmt of the English Language,Development of the English Language,"{§ENGL B453} English from Indo-European through Germanic and into Old English, Middle English and Modern English. No previous knowledge of Old English or Middle English is required.",Standard Letter
Fall 2023,Beaufort,MARTB102,MART,MART - Media Arts,B102,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Media Design,Media Design,"Fundamental conceptual and technical aspects of designing popular media, including an introduction to digital compositing, time-based media, and
interactive media.",Standard Letter
Fall 2023,Beaufort,MARTB145,MART,MART - Media Arts,B145,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Digital Imaging,Digital Imaging,"(Prerequisite: MART B102 or permission of instructor.) Foundations class on the aesthetic and communicative elements of digital image production,
including 2D computer graphics, 3D motion graphics, and coding for media designers.",Standard Letter
Fall 2023,Beaufort,MARTB201,MART,MART - Media Arts,B201,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,History of Animation in the US,History of Animation in the US,"{§ ARTH B201} A survey of popular animation in the United States, from early 20th century film to contemporary digital media, with an introduction to
animation techniques using computer software.",Standard Letter
Fall 2023,Beaufort,MARTB210,MART,MART - Media Arts,B210,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Digital Animation 1,Digital Animation 1,"Introduction to the theory and practice of using computer software to create animated digital media, including 3D character animation.
",Standard Letter
Fall 2023,Beaufort,MARTB250,MART,MART - Media Arts,B250,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Broadcast Design 1,Broadcast Design 1,"Introduction to the design and production of media for documentary style broadcasting, including storyboarding, virtual sets, digital cinematography,
video editing, and motion graphics.",Standard Letter
Fall 2023,Beaufort,MARTB281,MART,MART - Media Arts,B281,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Video Game Design 1,Video Game Design 1,"Introduction to the theory and practice of using computer software to design interactive digital media, including a first-person 3D video game.
",Standard Letter
Fall 2023,Beaufort,MARTB310,MART,MART - Media Arts,B310,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Digital Animation 2,Digital Animation 2,"(Prerequisite: MART B210) Intermediate project-based course on a specialized aspect of digital animation production, including 3D modeling, character animation, or special effects.",Standard Letter
Fall 2023,Beaufort,MARTB350,MART,MART - Media Arts,B350,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Broadcast Design 2,Broadcast Design 2,"(Prerequisite: MART B250) Intermediate course on a specialized aspect of designing digital media for a documentary style television broadcast, such as virtual sets, digital cinematography, 3D motion graphics, or special effects.
",Standard Letter
Fall 2023,Beaufort,MARTB375,MART,MART - Media Arts,B375,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Digital Fabrication,Digital Fabrication,"(Prerequisite: MART B145 or permission of instructor) An introduction to emerging technologies relating to rapid prototyping processes, this course
focuses on three-dimensional printing and other computer controlled technologies pertaining to the design and fabrication of a sculptural object and/or
design.",Standard Letter
Fall 2023,Beaufort,MARTB381,MART,MART - Media Arts,B381,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Video Game Design 2,Video Game Design 2,"(Prerequisite: MART B281) Intermediate project-based course on a specialized aspect of 3D video game production, including art assets, level design, or coding events.",Standard Letter
Fall 2023,Beaufort,MARTB385,MART,MART - Media Arts,B385,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Emerging Technologies,Emerging Technologies,"(Prerequisite: MART B145 or permission by instructor) This course focuses on the use of hardware and software to create artwork that has elements of interactivity, time-based functionality and code manipulation. Other topics include: DIY movements, microprocessors, and installation art.",Standard Letter
Fall 2023,Beaufort,MARTB410,MART,MART - Media Arts,B410,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Narrative Media,Narrative Media,"(Prerequisite: MART B310 or permission by instructor) Advanced project-based course on telling a story through moving pictures, including taking a
script through the 3D production process to a festival quality short animation.",Standard Letter
Fall 2023,Beaufort,MARTB481,MART,MART - Media Arts,B481,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Performative Media,Performative Media,"(Prerequisite: MART B381 or permission of instructor) Advanced project-based course on the design and practice of media performance, including the development of interactive virtual characters and environments for a live stage production.",Standard Letter
Fall 2023,Beaufort,MARTB499,MART,MART - Media Arts,B499,A,Active,Internship / Cooperative,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,1,3,Internship in Media Arts,Internship in Media Arts,"(Prerequisite: MART B310 or B381 or permission of instructor) Supervised experience in media production facilities. Can be taken for 1-3 credits based on 50 contact hours per credit, and contract must be approved by instructor, advisor, and department head.
",Standard Letter
Fall 2023,Beaufort,MATHB101,MATH,MATH - Mathematics,B101,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Experiential Mathematics,Experiential Mathematics and Computation,"(Prerequisite: Mathematics Placement Exam and two years of high school algebra or equivalent) Mathematics application and appreciation in algebra, geometry, probability and statistics. Modeling and computation in practical applications. Foundational topics are chosen from: Number and Measurement Systems, Symbolic Relationships, Data Description or Analysis, Geometry, Uncertainty, Reasoning, and the Mathematics of Finance. This course serves as a prerequisite for no other MATH courses. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB111,MATH,MATH - Mathematics,B111,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,College Algebra,College Algebra,"(Prerequisite: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions,
exponential and logarithmic functions, systems of equations. Credit may not be received for both MATH B111 and B111L. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB111L,MATH,MATH - Mathematics,B111L,A,Active,Lab / Clinical,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,4,,Intensive College Algebra,Intensive College Algebra,"(Prerequisite: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions,
exponential and logarithmic functions, systems of equations. Credit may not be received for both MATH B111L and B111. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB111L,MATH,MATH - Mathematics,B111L,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,4,,Intensive College Algebra,Intensive College Algebra,"(Prerequisite: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions,
exponential and logarithmic functions, systems of equations. Credit may not be received for both MATH B111L and B111. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB111L,MATH,MATH - Mathematics,B111L,A,Active,Lecture / Lab - Clinical,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,4,,Intensive College Algebra,Intensive College Algebra,"(Prerequisite: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions,
exponential and logarithmic functions, systems of equations. Credit may not be received for both MATH B111L and B111. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB115,MATH,MATH - Mathematics,B115,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,4,,Precalculus Mathematics,Precalculus Mathematics,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in B111) Topics in algebra and trigonometry specifically needed for MATH 141, 142, 240. Polynomial, rational, inverse, logarithmic, exponential functions; circular functions; analytic trigonometry. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB122,MATH,MATH - Mathematics,B122,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Calculus for Business Adm SSci,Calculus for Business Administration and Social Sciences,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B111 or consent) Derivatives and integrals of elementary algebraic,
exponential and logarithmic functions. Maxima, minima, rate of change, and area under a curve. Applications include marginality and elasticity of
demand. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB131,MATH,MATH - Mathematics,B131,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MTH,USC-B Mathematics,3,,Intro Math for Computational S,Introductory Mathematics for Comutational Science,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B111 or consent) Sets, functions, analytic geometry, matrices and
Euclidean spaces, infinites series, approximation, precision and error, counting and probability, graphs and trees; fundamental notions of differential
and integral calculus.",Standard Letter
Fall 2023,Beaufort,MATHB141,MATH,MATH - Mathematics,B141,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,4,,Calculus I,Calculus I,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B115) Introduction to fundamental concepts and theorems of limits,
continuity, and derivatives; rates of change; differentiation rules for algebraic and transcendental functions, including the chain rule; applications of
derivatives; introduction to integration, including the Fundamental Theorem of Calculus and u-substitution; areas between curves. Offered every
semester.",Standard Letter
Fall 2023,Beaufort,MATHB142,MATH,MATH - Mathematics,B142,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,4,,Calculus II,Calculus II,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B141) Techniques of integration, applications of the integral,
L”Hospital’s Rule, improper integrals; sequences and series of real numbers, power and Taylor series, introduction to polar coordinates. Offered every
semester.
",Standard Letter
Fall 2023,Beaufort,MATHB170,MATH,MATH - Mathematics,B170,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Finite Mathematics,Finite Mathematics,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B111 or B115) Elementary matrix theory; systems of linear equations; permutations and combinations; probability and Markov chains; linear programming and game theory.
",Standard Letter
Fall 2023,Beaufort,MATHB172,MATH,MATH - Mathematics,B172,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Math Modeling for Life Science,Mathematical Modeling for the Life Sciences,"(Prerequisite: Grade of ‘C’ or better in MATH B122 or MATH B141) Modeling with difference equations; vectors, trigonometry, polar coordinates,
matrices, eigenvalues and eigenvectors; addition and multiplication in combinatorics, permutations, combinations, introduction to probability theory
(discrete, continuous); techniques of integration, symmetry. Credit may not be received for both MATH B172 and either MATH B170 or B174. Offered
Spring semester.",Standard Letter
Fall 2023,Beaufort,MATHB174,MATH,MATH - Mathematics,B174,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Discrete Math for Computer Sci,Discrete Mathematics for Computer Science,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B115) Induction, complexity, elementary counting, combinations and
permutations, recursion and recurrence relations, graphs and trees; discussion of the design and analysis of algorithms— with emphasis on sorting and searching. Offered Spring semester.",Standard Letter
Fall 2023,Beaufort,MATHB221,MATH,MATH - Mathematics,B221,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Basic Concpt  Elementary Mth I,Basic Concepts of Elementary Mathematics,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B111 or B115) The meaning of number, fundamental operations of
arithmetic, the structure of the real number system and its subsystems, elementary number theory. Open only to students in elementary or early
childhood teacher certification. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB222,MATH,MATH - Mathematics,B222,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Basic Concpt Elementary Mth II,Basic Concepts of Elementary Mathematics II,"(Prerequisite: MATH B221) Informal geometry and basic concepts of algebra. Open only to students in elementary or early childhood teacher
certification. Offered every semester.",Standard Letter
Fall 2023,Beaufort,MATHB230,MATH,MATH - Mathematics,B230,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Linear Algebra,Linear Algebra,"(Prerequisite: MATH B141 or consent of instructor) Linear systems and matrices, vector spaces, linear independence, rank of a matrix, linear
transformations, determinants, introduction to eigenvalues and eigenvectors, diagonalization and applications. Offered Fall semester.",Standard Letter
Fall 2023,Beaufort,MATHB240,MATH,MATH - Mathematics,B240,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,4,,Calculus III,Calculus III,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B142) Parametric equations, polar coordinates, three dimensional
analytic geometry, cylindrical and spherical coordinates, vector functions, functions of several variables, partial differentiation, max-min, Lagrange
multipliers, multiple integrals and applications, integral vector calculus. Offered Spring semester.
",Standard Letter
Fall 2023,Beaufort,MATHB242,MATH,MATH - Mathematics,B242,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Elementary Differential Equatn,Elementary Differential Equations,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B142) Ordinary differential equations of first order, higher order
linear equations, Laplace transform methods, series methods; numerical solution of differential equations. Applications to physical sciences and
engineering. Offered Spring semester.
",Standard Letter
Fall 2023,Beaufort,MATHB280,MATH,MATH - Mathematics,B280,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MTH,USC-B Mathematics,4,,Computational Mathematics,Computational Mathematics,"{§CSCI B280} (Prerequisite: MATH B142 and CSCI B104 or consent of instructor) Fundamental concepts selected from linear algebra and differential
equations applicable to Computational Science. Major topics include systems of linear equations, diagonalization, and numerical solutions to differential equations. The focus is on computational methods and programming skills that will be implemented in a variety of science and engineering disciplines.",Standard Letter
Fall 2023,Beaufort,MATHB300,MATH,MATH - Mathematics,B300,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Introduction to Proof,Introduction to Proof,"(Prerequisite: Qualification through placement or a grade of ‘C’ or better in MATH B142) Introduction to the language and nature of reasoning, structure, and technique as they apply to advanced mathematics and proofs. Topics include logic, set theory, cardinality, and methods of proof (including induction). Offered every semester.
",Standard Letter
Fall 2023,Beaufort,MATHB331,MATH,MATH - Mathematics,B331,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Foundations of Geometry,Foundations of Geometry,"(Prerequisite: Grade of 'C' or better in MATH B300) The study of geometry as a logical system based upon postulates and undefined terms. The
fundamental concepts and relations of Euclidean geometry developed rigorously on the basis of a set of postulates. Some topics from non-Euclidean
geometry. Offered Fall semester.
",Standard Letter
Fall 2023,Beaufort,MATHB399,MATH,MATH - Mathematics,B399,A,Active,Independent Study,2A,Univ of S Carolina Beaufort,2MTH,USC-B Mathematics,1,9,Independent Study,Independent Study in Mathematics,"(Prerequisite: Contract approval is required).
",Standard Letter
Fall 2023,Beaufort,MATHB401,MATH,MATH - Mathematics,B401,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,History of Mathematics,History of Mathematics,"(Prerequisite: Grade of ‘C’ or better in MATH B121 or MATH B141) A study of the historical development of mathematics focusing on conceptual
milestones. Offered Fall semester.
",Standard Letter
Fall 2023,Beaufort,MATHB410,MATH,MATH - Mathematics,B410,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Abstract Algebra I,Abstract Algebra I,"(Prerequisite: Grade of ‘C’ or better in MATH B230 and MATH B300) An introduction to algebraic structures. Introduction to group theory including
subgroups, quotient groups, homomorphisms; introduction to rings including ideals, quotient rings, polynomial rings and fields of fractions. Offered
Spring semester.",Standard Letter
Fall 2023,Beaufort,MATHB411,MATH,MATH - Mathematics,B411,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Abstract Algebra II,Abstract Algebra II,"(Prerequisite: Grade of ‘C’ or better in MATH B410) A continuation of studies in Algebra. An introduction to modules and field theory including vector
spaces, algebras and free abelian groups; introduction to field theory including algebraic extension, Galois theory and finite fields.",Standard Letter
Fall 2023,Beaufort,MATHB419,MATH,MATH - Mathematics,B419,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MTH,USC-B Mathematics,4,,Mathematical Modeling,Mathematical Modeling,"{§ CSCI B419} (Prerequisite: grade of ‘C’ or better in MATH B142 and CSCI B104, or consent of instructor) Utilizes numerical and mathematical analysis to investigate experimental data and complex systems in science and/or engineering. Emphasis is on the mathematical modeling techniques and computer programming to explore applied problems.
",Standard Letter
Fall 2023,Beaufort,MATHB421,MATH,MATH - Mathematics,B421,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Math for Secondary Teachers,Mathematics for Secondary Teachers,"Survey of properties and algebra of real numbers and complex numbers; properties and representations of various functions; concepts of calculus;
Euclidean and non-Euclidean geometries; applications of probability, data analysis, and discrete mathematics.",Standard Letter
Fall 2023,Beaufort,MATHB427,MATH,MATH - Mathematics,B427,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Numerical Analysis,Numerical Analysis,"(Prerequisite: MATH B280 or B242, and MATH B230) Interpolation and approximation of functions; solution of algebraic equations; numerical
differentiation and integration; numerical solutions of ordinary differential equations and boundary value problems; computer implementation of
algorithms.
",Standard Letter
Fall 2023,Beaufort,MATHB450,MATH,MATH - Mathematics,B450,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Analysis I,Analysis I,"(Prerequisite: grade of ‘C’ or better in MATH B300 or consent of instructor) A rigorous treatment of topics introduced in elementary calculus and more
advanced topics basic to the study of real analysis. Offered Spring semester.",Standard Letter
Fall 2023,Beaufort,MATHB451,MATH,MATH - Mathematics,B451,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MTH,USC-B Mathematics,3,,Analysis II,Analysis II,"(Prerequisite: grade of ‘C’ or better in MATH B450 or consent of department) An introduction to the theory of several variables calculus: convergence
in Euclidean spaces, functions on Euclidean spaces, differentiation in several variables, integration in several variables.",Standard Letter
Fall 2023,Beaufort,MATHB452,MATH,MATH - Mathematics,B452,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Complex Analysis,Complex Analysis,"(Prerequisite: grade of ‘C’ or better in MATH B240) Complex integration, calculus of residues, conformal mapping, Taylor and Laurent series expansions, applications.
",Standard Letter
Fall 2023,Beaufort,MATHB460,MATH,MATH - Mathematics,B460,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Topology,Topology,"(Prerequisite: grade of ‘C’ or better in MATH B300 or consent of instructor) Topological spaces and homeomorphisms; separability; compactness;
connectedness; completeness; metrizability; introduction to homotopy theory.
",Standard Letter
Fall 2023,Beaufort,MATHB480,MATH,MATH - Mathematics,B480,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MCS,USC-B Math & Comp Sci,3,,Senior Seminar,Senior Seminar,"(Prerequisite: Consent of instructor) A review of current literature in specialized subject areas involving student presentations. Content varies and will
be announced in the schedule of classes by suffix and title. Offered Spring semester.",Pass/Fail
Fall 2023,Beaufort,MATHB497,MATH,MATH - Mathematics,B497,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2MTH,USC-B Mathematics,1,,Reading for Senior Thesis,Reading for Senior Thesis,"(Prerequisite: Junior standing with GPA of 3.0 within Mathematics major and departmental approval.) Directed reading in preparation for senior thesis
in literature.",Pass/Fail
