CourseID,CourseNumber,Title,MinCreditHours,MaxCreditHours,CourseDescription,GradeType,Course_type,SubjectID
541,B495,Hospitality Mgmt Internship,3,NULL,"Structured industry practical experience in a hospitality management company at the supervisory level. A contract approved by the instructor, advisor and department chair is required for undergraduate students. Minimum of 400 hours.",Standard Letter,Lecture,36
542,B260,Hotel Management,3,NULL,"Management of the lodging phase of the hospitality industry to include front desk, housekeeping and maintenance areas.",Standard Letter,Lecture,36
543,B357,"Hotel, Restaurant Travel Law",3,NULL,"A comprehensive overview of laws and regulatory agencies governing the lodging, food service and travel industries.",Standard Letter,Lecture,36
544,B497,HRNS Reading for Senior Thesis,NULL,NULL,NULL,NULL,NULL,26
545,B328,HRTM Accounting,3,NULL,(Prerequisite: ACCT B225 and B226) Accounting trends and controls for the hospitality industry from a managerial point of view.,Standard Letter,Lecture,36
546,B244,Human Anatomy and Physiolgy II,4,NULL,"Functional anatomy and physiology of the human body, including the cardiovascular, endocrine, excretory, reproductive, digestive and respiratory systems. Not available for biology major credit. Three lecture hours and three laboratory hours per week.",Standard Letter,Lab / Clinical,9
547,B244,Human Anatomy and Physiolgy II,4,NULL,"Functional anatomy and physiology of the human body, including the cardiovascular, endocrine, excretory, reproductive, digestive and respiratory systems. Not available for biology major credit. Three lecture hours and three laboratory hours per week.",Standard Letter,Lecture,9
548,B244,Human Anatomy and Physiolgy II,4,NULL,"Functional anatomy and physiology of the human body, including the cardiovascular, endocrine, excretory, reproductive, digestive and respiratory systems. Not available for biology major credit. Three lecture hours and three laboratory hours per week.",Standard Letter,Lecture / Lab - Clinical,9
549,B243,Human Anatomy and Physiology I,4,NULL,"Recommended for students with 1 year of high school (or higher) biology or chemistry with laboratory with a grade of B or better. Functional anatomy and physiology of the human body, including the integumentary, skeletal, muscular and nervous systems. Not available for biology major credit. Three lecture hours and three laboratory hours per week.",Standard Letter,Lab / Clinical,9
550,B243,Human Anatomy and Physiology I,4,NULL,"Recommended for students with 1 year of high school (or higher) biology or chemistry with laboratory with a grade of B or better. Functional anatomy and physiology of the human body, including the integumentary, skeletal, muscular and nervous systems. Not available for biology major credit. Three lecture hours and three laboratory hours per week.",Standard Letter,Lecture,9
551,B243,Human Anatomy and Physiology I,4,NULL,"Recommended for students with 1 year of high school (or higher) biology or chemistry with laboratory with a grade of B or better. Functional anatomy and physiology of the human body, including the integumentary, skeletal, muscular and nervous systems. Not available for biology major credit. Three lecture hours and three laboratory hours per week.",Standard Letter,Lecture / Lab - Clinical,9
552,B243,Human Anatomy Physiology I,NULL,NULL,NULL,NULL,NULL,9
553,B120,Human Biology,3,NULL,Fundamental principles of human biology. Three lecture hours per week. Not for major credit.  (Note: Combination of BIOL B110 & BIOL B120 does NOT satisfy the Natural Science GE requirement),Standard Letter,Lecture,9
554,B120L,Human Biology Laboratory,1,NULL,(Prerequisite or Co-requisite: BIOL B120) Exercises dealing with basic concepts of human biology. Not for major credit.,Standard Letter,Lab / Clinical,9
555,B209,Human Growth and Development,3,NULL,"An Introduction to and survey of physical, mental, social, and emotional developmental patterns evidence from the prenatal period through senescence and death.",Standard Letter,Lecture,56
556,B234,Human Physiology,4,NULL,"(Prerequisite: CHEM B109) Physiology of the human body, including Nervous, sensory, endocrine, muscle, circulatory, immune, respiratory, digestive, urinary and reproductive systems. Not available for biology majors  credit. 3 lecture and 2 laboratory hours.",Standard Letter,Lab / Clinical,9
557,B234,Human Physiology,4,NULL,"(Prerequisite: CHEM B109) Physiology of the human body, including Nervous, sensory, endocrine, muscle, circulatory, immune, respiratory, digestive, urinary and reproductive systems. Not available for biology majors  credit. 3 lecture and 2 laboratory hours.",Standard Letter,Lecture,9
558,B234,Human Physiology,4,NULL,"(Prerequisite: CHEM B109) Physiology of the human body, including Nervous, sensory, endocrine, muscle, circulatory, immune, respiratory, digestive, urinary and reproductive systems. Not available for biology majors  credit. 3 lecture and 2 laboratory hours.",Standard Letter,Lecture / Lab - Clinical,9
559,B374,Human Resource Management,3,NULL,"(Prerequisite: MGMT B371) A development of an understanding of personnel administration as a staff function through a study of modern-day concepts and practices. Topics include: research and standards, employment, training and education, safety and health, employee services and industrial relations.",Standard Letter,Lecture,46
560,B451,Human Resources in HRTM,3,NULL,"(Prerequisites: HRTM B110 and B230) A specialized approach to human resources management in the hospitality industry. Students will analyze contemporary issues and practices, as well as the trends that transform the way people are managed specifically within the hospitality industry.",Standard Letter,Lecture,36
561,B300,Human Service Interventions II,NULL,NULL,NULL,NULL,NULL,34
562,B302,Human Services Evaluation,3,NULL,"(Prerequisite: HMSV B280, or consent of Instructor) Research methods for determining the effectiveness of social programs/interventions (i.e., experimental, quasi-experimental and qualitative designs).",Standard Letter,Lecture,34
563,B290,Human Services Internship I,3,NULL,"(Prerequisite: HMSV 280 or permission of Instructor) The application of theoretical foundations and human service principles in a supervised human service setting. Requires at least 120 hours of service; participation in three on-campus seminars, or three interviews with instructor or a combination of these; on-line reflections; and a final paper that demonstrates the ability to apply interdisciplinary theories, concepts and principles of practice.",Standard Letter,Internship / Cooperative,34
564,B298,Human Services Internship II,3,NULL,"(Prerequisite: HMSV 290 or consent of Instructor) The application of theoretical foundations and human service principles in a supervised human service setting. Requires at least 120 hours of service; participation in three on-campus seminars, or three interviews with instructor or a combination of these; on-line reflections; and a final paper that demonstrates the ability to apply interdisciplinary theories, concepts and principles of practice at a higher level than in the previous internship. (N.B. no more than two internship can be at the same site.)",Standard Letter,Internship / Cooperative,34
565,B490,Human Services Internship III,3,NULL,"(Prerequisite: HMSV 298 or permission of Instructor) The application of theoretical foundations and human service principles in a supervised human service setting. Requires at least 120 hours of service; participation in three on-campus seminars, or three interviews with instructor or a combination of these; on-line reflections; a capstone essay that demonstrates the ability to apply interdisciplinary theories, concepts and principles of practice at a higher level than in the previous internship; and submission of a professional portfolio for review. (N.B. no more than two internship can be at the same site.)",Standard Letter,Internship / Cooperative,34
566,B190,Human Services: An  Intro,3,NULL,"(Prerequisite: PSYC B101 or SOCY B101 or consent of Instructor). The intention of this course is to acquaint students with an overview of the interdisciplinary field of human services by providing a historical and contemporary survey of human service program literatures. Students will be able to identify the domain of human services as an interdisciplinary area of theory and practice. Specifically, they will be able to master concepts generic to this field of study and apply them in human service situations.",Standard Letter,Lecture,34
567,B214,Human Sexual Behavior,3,NULL,"Psychological, physiological and sociological factors of human sexual behavior and attitudes.",Standard Letter,Lecture,56
568,B280,Human Srv Interventions I,NULL,NULL,NULL,NULL,NULL,34
569,B436,Ichthyology,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Phylogeny, morphology, behavior, and ecology of fishes. Three lecture and three laboratory hours per week. Several field trips are required.",Standard Letter,Lab / Clinical,9
570,B436,Ichthyology,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Phylogeny, morphology, behavior, and ecology of fishes. Three lecture and three laboratory hours per week. Several field trips are required.",Standard Letter,Lecture,9
571,B436,Ichthyology,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Phylogeny, morphology, behavior, and ecology of fishes. Three lecture and three laboratory hours per week. Several field trips are required.",Standard Letter,Lecture / Lab - Clinical,9
572,B297,IDST Research Methods,3,NULL,"(Prerequisite: ENGL B101 or B105 with a grade of  C  or higher, and Prerequisite or Corequisite of B102 or B106,). Introduction to individualized study including initial development of course of study proposal, review of courses, and bibliography.",Standard Letter,Lecture,37
573,B399A,Ind Study in Political Science,1,6,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,55
574,B399B,Ind Study International Studie,1,6,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,55
575,B399,Independent Studies,3,6,(Prerequisite: Contract approval is required),Standard Letter,Independent Study,11
576,B399,Independent Study,1,3,{ ISAT B399} (Prerequisite: Contract approval is required).,Standard Letter,Independent Study,13
577,B599,Independent Study,3,NULL,Research under the supervision of a faculty member.,Standard Letter,Independent Study,13
578,B599,Independent Study,3,NULL,Research under the supervision of a faculty member.,Standard Letter,Lecture,13
579,B399,Independent Study,3,9,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,26
580,B399,Independent Study,1,6,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,9
581,B399,Independent Study,3,6,(Prerequisite: Contract approval is required) The maximum number of independent study hours a student may earn in business is limited to six.,Standard Letter,Independent Study,8
582,B399,Independent Study,1,3,"Contract approval by instructor, advisor, and Department Chair is required.",Standard Letter,Independent Study,10
583,B399,Independent Study,3,9,(Prerequisite: Contract approval is required.),Standard Letter,Independent Study,5
584,B399,Independent Study,3,6,"(Prerequisite: Contract approval by instructor, advisor, and Department Chair is required.)",Standard Letter,Independent Study,3
585,B399,Independent Study,3,9,(Prerequisite: Contract approval is required.),Standard Letter,Independent Study,6
586,B399,Independent Study,3,9,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,53
587,B399,Independent Study,1,6,"(Prerequisite: Contract approval is required, and PSYC B101 and consent of instructor) Closely supervised project or research experience in psychology. May be repeated for up to six credit hours. Not for psychology major credit.",Standard Letter,Independent Study,56
588,B399,Independent Study,3,9,(Prerequisite: Contract approval is required.),Standard Letter,Independent Study,37
589,B399,Independent Study,3,9,(Prerequisite: Contract approval is required.),Standard Letter,Lecture,37
590,B399,Independent Study,1,3,{ CSCI B399} (Prerequisite: Contract approval is required).,Standard Letter,Independent Study,39
591,B399,Independent Study,NULL,NULL,NULL,NULL,NULL,44
592,B399,Independent Study,1,9,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,45
593,B399,Independent Study,3,NULL,(Prerequisite: Contract approval is required),Standard Letter,Independent Study,33
594,B399,Independent Study,3,6,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,32
595,B399,Independent Study,3,6,"(Prerequisite: Contract approval is required, and FREN B201 or equivalent or consent of instructor; FREN B202 strongly recommended)",Standard Letter,Independent Study,29
596,B399,Independent Study,1,6,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,36
597,B399,Independent Study,3,6,"(Prerequisite: Contract approval is required, and Junior or Senior standing, and cumulative grade point average of 2.50 or higher)",Standard Letter,Independent Study,64
598,B399,Independent Study,3,6,"(Prerequisite: Contract approval is required, and Placement at 300 level on Phase II placement exam, grade of  C  or better in SPAN B202, or consent of instructor.",Standard Letter,Independent Study,60
599,B399,Independent Study in Education,1,6,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,16
600,B399,Independent Study in Education,1,6,(Prerequisite: Contract approval is required).,Standard Letter,Lecture,16
601,B399,Independent Study in Nursing,1,6,"This course is an advanced study of a particular theme or topic in the nursing through readings, research, and analysis. It is designed for students who have completed basic courses and who want to study specific topics that are not offered in the curriculum or extend learning of a topic from a course already completed (i.e., develop a poster or manuscript based on a scholarly paper). A contract of study is developed through readings, projects, papers, and/or seminars approved by instructor. Up to 3 credits may be contracted and repeated for a total of 6 credits.",Standard Letter,Independent Study,51
602,B399,Independent Study in PUBH,1,4,"(Prerequisite: PUBH B310 or consent of instructor) This course examines concepts, emerging trends, issues, and evidence-based practice changes in public health practice. Variable hours between 1 to 4 credits, depending on topic which may include complementary and alternative health practices, working with special populations, emerging public health needs, etc. Students may re-take one additional time for a maximum of 8 credits.",Standard Letter,Independent Study,57
603,B399,Independent Study in PUBH,1,4,"(Prerequisite: PUBH B310 or consent of instructor) This course examines concepts, emerging trends, issues, and evidence-based practice changes in public health practice. Variable hours between 1 to 4 credits, depending on topic which may include complementary and alternative health practices, working with special populations, emerging public health needs, etc. Students may re-take one additional time for a maximum of 8 credits.",Standard Letter,Lecture,57
604,B399,Independent Study in Sociology,3,6,(Prerequisite: Contract approval is required).,Standard Letter,Independent Study,59
605,B320,Individual and Society,3,NULL,"Selected theoretical orientations, methodological procedures and illustrative substantive data pertaining to the relations between the individual and society.",Standard Letter,Lecture,59
606,B499,Individual Research,3,NULL,(Prerequisite: 15 hours of psychology and consent of instructor) Planning and execution of supervised research in psychology. Approved contract required.,Standard Letter,Lecture,56
607,B189,Indoor Cycling,1,NULL,An introduction to the basic fundaments of indoor cycling.,Standard Letter,Studio / PE Course,52
608,B224,Industrial/Organizational Psyc,3,NULL,"Psychological techniques applied to various industrial and organizational problem areas, such as management and supervision, morale, efficiency, training, personnel selection and placement and relations among personnel.",Standard Letter,Lecture,56
609,B699,Industrial/Research Internship,1,3,"Practical full-time work experience in an area of Computational Science, selected by the student and approved by the Department Chair or Computational Science Program Coordinator.",Standard Letter,Internship / Cooperative,13
610,B699,Industrial/Research Internship,1,3,"Practical full-time work experience in an area of Computational Science, selected by the student and approved by the Department Chair or Computational Science Program Coordinator.",Standard Letter,Lecture,13
611,B437,Info Technology Project Mgmt,3,NULL,"{ ISAT B437} (Prerequisite: CSCI/ISAT B207 and MGMT B371, or consent of instructor) This course introduces students to project management concepts, techniques, and tools used by project managers to plan, initiate, manage and close information technology projects. Topics include: the systems approach to project management; application of a project management framework to the planning and management of scope, cost, people, expectations, risk, communications, and procurement; agile methodologies; project management software.",Standard Letter,Lecture,13
612,B437,Info Technology Project Mgmt,3,NULL,"{ CSCI B437} (Prerequisite: CSCI/ISAT B207 and MGMT B371, or consent of instructor) This course introduces students to project management concepts, techniques, and tools used by project managers to plan, initiate, manage and close information technology projects. Topics include: the systems approach to project management; application of a project management framework to the planning and management of scope, cost, people, expectations, risk, communications, and procurement; agile methodologies; project management software.",Standard Letter,Lecture,39
613,B111,Informal Logic: Reason & Analy,3,NULL,This course is an introduction to inductive reasoning. The focus will be on argumentation and argument analysis. Students will develop skills for: identifying argumentative language; determining the type of argument present; constructing argument maps; evaluating arguments in term of inductive standards; and identifying various informal fallacies.,Standard Letter,Lecture,53
614,B401,Information Security Principle,3,NULL,"{ CSCI B401} (Prerequisite: CSCI B201) This course extends fundamental computer security concepts, practices, and issues, introducing students in the broader field of information security. Topics include: common attack/threat vectors; information security planning; information security prevention, detection, and response tools and approaches; risk and risk assessment; human factors in information security; legal, ethical, and professional issues.",Standard Letter,Lecture,39
615,B401,Information Security Principle,3,NULL,"{ ISAT B401} (Prerequisite: CSCI B201) This course extends fundamental computer security concepts, practices, and issues, introducing students in the broader field of information security. Topics include: common attack/threat vectors; information security planning; information security prevention, detection, and response tools and approaches; risk and risk assessment; human factors in information security; legal, ethical, and professional issues.",Standard Letter,Lecture,13
616,B450,Innovation & Entrepreneurial,3,NULL,(Prerequisite: BADM B380 or consent of instructor) This course focuses on the application of problem-solving skills to reinvent and/or pioneer innovative practices through project development in a field experience.,Standard Letter,Lecture,28
617,B430,Instruc Strategies in Literacy,NULL,NULL,NULL,NULL,NULL,24
618,B430,Instruction Strategies in Lit,3,NULL,"(Prerequisite: EDCI B100, EDCI B243, EDRD B318; Admission to the Professional Program or special permission of the Department Chair. Corequisite: EDRD B425 & EDRD B450P) This course focuses on research-based instructional strategies for literacy in early childhood classrooms. Course content includes cooperative learning, critical literacy, Reader's and Writer's Workshop. Specific instruction in the five elements of teaching reading: phonics, phonemic awareness, fluency, vocabulary and comprehension and the 6+1 traits of writing.",Standard Letter,Lecture,24
619,B433,Instructional Strategies ELEM,3,NULL,"(Prerequisite: Admission to the Professional Program in Education) This course focuses on research-based instructional strategies for literacy in elementary classrooms. Course content includes cooperative learning, critical literacy, Reader's and Writer's Workshop. Specific instruction in the five elements of teaching reading: phonics, phonemic awareness, fluency, vocabulary and comprehension. Reading comprehension and writing processes across the content areas are also included.",Standard Letter,Lecture,24
620,B201,Integrate Linguistic Skill III,4,NULL,Continuation (intermediate level 1) of foreign language linguistic skills with stress on effective communication in both written and spoken language as well as reading comprehension and an understanding of cultural practices for academic purposes.,Pass/Fail,Lecture,40
621,B305,Integrated Interdis Studies I,1,NULL,(Prerequisite: IDST B297; permission of instructor) Students identify two courses in two different disciplines that have a correlative relationship beneficial to student s course of study. Student proposal of integrative study due pre-enrollment. Can be repeated up to four credit hours.,Standard Letter,Lecture,37
622,B405,Integrated Interdis Studies II,1,NULL,(Prerequisite: IDST B297; permission of instructor) Students identify two courses in two different disciplines that have a correlative relationship beneficial to student s course of study. Student proposal of integrative study due pre-enrollment. Can be repeated up to four credit hours.,Standard Letter,Lecture,37
623,B305,Integrated Liberal Studies I,NULL,NULL,NULL,NULL,NULL,41
624,B405,Integrated Liberal Studies II,NULL,NULL,NULL,NULL,NULL,41
625,B102,Integrated Linguistic Skill II,4,NULL,Continuation (beginning level 2) of foreign language linguistic skills with stress on effective communication in both written and spoken language as well as reading comprehension and an understanding of cultural practices for academic purposes.,Pass/Fail,Lecture,40
626,B101,Integrated Linguistic Skills I,4,NULL,Introduction to foreign language linguistic skills (beginning level 1) with stress on effective communication in both written and spoken language as well as reading comprehension and an understanding of cultural practices for academic purposes.,Pass/Fail,Lecture,40
627,B111L,Intensive College Algebra,4,NULL,"(Prerequisite: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions, exponential and logarithmic functions, systems of equations. Credit may not be received for both MATH B111L and B111. Offered every semester.",Standard Letter,Lab / Clinical,44
628,B111L,Intensive College Algebra,4,NULL,"(Prerequisite: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions, exponential and logarithmic functions, systems of equations. Credit may not be received for both MATH B111L and B111. Offered every semester.",Standard Letter,Lecture,44
629,B111L,Intensive College Algebra,4,NULL,"(Prerequisite: qualification through placement) Basic college algebra; linear and quadratic equations, inequalities, functions and graphs of functions, exponential and logarithmic functions, systems of equations. Credit may not be received for both MATH B111L and B111. Offered every semester.",Standard Letter,Lecture / Lab - Clinical,44
630,B111L,Intensive College Algebra,NULL,NULL,NULL,NULL,NULL,45
631,B101L,Intensive English Comp Lab,NULL,NULL,NULL,NULL,NULL,26
632,B281,Interactive Media 1,NULL,NULL,NULL,NULL,NULL,43
633,B381,Interactive Media 2,NULL,NULL,NULL,NULL,NULL,43
634,B450,Intercultural Communication,NULL,NULL,NULL,NULL,NULL,11
635,B285,Intercultural Communication,3,NULL,A study of cultural differences in human communication with focus on theoretical and experiential approaches toward gaining competence in communicating across cultures. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).,Standard Letter,Lecture,11
636,B297,Interdesciplinary Research Mth,NULL,NULL,NULL,NULL,NULL,41
637,B250,Interdisciplinary Internship,3,NULL,"(Prerequisite: IDST Major or Minor only, IDST B297, or consent of instructor) Provides students with the opportunity to apply interdisciplinary research skills across culturally diverse populations in a professional setting. Minimum requirement of 150 service hours. Can be repeated once.",Standard Letter,Internship / Cooperative,37
638,B297,Interdisciplinary Methods Mth,NULL,NULL,NULL,NULL,NULL,37
639,B425,Intermediate Accounting I,3,NULL,"(Prerequisite: Grade of  C  or higher in ACCT B226) A detailed study of the preparation and presentation of the balance sheet, income statement, statement of retained earnings, and statement of cash flows. Includes a comprehensive analysis of financial transactions related to revenues and assets, with an emphasis on revenue recognition, and asset valuation issues.",Standard Letter,Lecture,1
640,B426,Intermediate Accounting II,3,NULL,(Prerequisite: Grade of  C  or higher in ACCT B425) A continuation of the detailed study of the preparation and presentation of financial statements. Problem solving techniques and the ability to structure problem solutions will be stressed.,Standard Letter,Lecture,1
641,B370,Intermediate Acting,3,NULL,(Prerequisite: THEA B170) A continuation of THEA B170.,Standard Letter,Lecture,64
642,B313,Internal Training and Develpmt,1,NULL,Principles of effective in-house training programs in the hospitality/travel industry.,Standard Letter,Lecture,36
643,B383,International Business,3,NULL,"(Prerequisites: MGMT B371) Introduces the student to economic, financial, legal, political, cultural, institutional and managerial considerations associated with international business transactions.",Standard Letter,Lecture,8
644,B411,International Management,3,NULL,"(Prerequisite: Junior standing) This course will apply the basic principles of management and leadership to the firm operating internationally. Emphasis is placed on the management functions of leading, planning, organizing and controlling, as well as the conduct of labor relations, within the framework of a multicultural environment.",Standard Letter,Lecture,46
645,B315,International Relations,3,NULL,International political behavior and institutions.,Standard Letter,Lecture,55
646,B429,Internship,3,6,"(Prerequisites: Junior standing, 2.5 GPA, MKTG B350, BADM B345 and an approved contract with the Internship Coordinator) This course provides students in all disciplines with the opportunity to reinforce classroom learning by working in their discipline in a supervised business environment. This course may be repeated with the approval of the Department Chair and the student s academic advisor.",Standard Letter,Internship / Cooperative,8
647,B429,Internship in Accounting,2,6,(Prerequisite: ACCT B226 and one upper level accounting concentration class with a grade of  C  or higher; and consent of the instructor) Experiential learning in a public or private accounting setting. This course may be repeated once with the approval of the Department Chair and consent of the Instructor.,Standard Letter,Internship / Cooperative,1
648,B495,Internship in Comm Studies,3,NULL,"(Prerequisite: Communication Studies Major only, 15 hours of communication studies, consent of instructor). Provides students with the opportunity to apply skills and knowledge across socially and culturally diverse populations in a professional setting. Minimum requirement of 150 service hours. May be repeated for a maximum of 12 credit hours.",Standard Letter,Internship / Cooperative,11
649,B469,Internship in ECE,12,NULL,(Prerequisite: Admission to the Professional Program in Education and the Internship; Co-requisite: EDEC B476) A program of observation and teaching in the public schools under the supervision of university and public school personnel.,Pass/Fail,Internship / Cooperative,17
650,B470,Internship in Elementary Schl,12,NULL,(Prerequisite: Admission to the Professional Program in Elementary Education; Co-requisite: EDEL B476) A program of observation and teaching in the public schools under the supervision of university and public school personnel.,Pass/Fail,Internship / Cooperative,18
651,B480,Internship in Health Promotion,NULL,NULL,NULL,NULL,NULL,35
652,B499,Internship in Media Arts,1,3,"(Prerequisite: MART B310 or B381 or permission of instructor) Supervised experience in media production facilities. Can be taken for 1-3 credits based on 50 contact hours per credit, and contract must be approved by instructor, advisor, and department head.",Standard Letter,Internship / Cooperative,43
653,B495,Internship in Psychology I,3,NULL,"(Prerequisite: Psychology Majors only, 15 hours of psychology, consent of instructor) Provides experience in a professional setting to facilitate integration of academic knowledge with real world. Minimum requirement of 150 service hours.",Standard Letter,Internship / Cooperative,56
654,B496,Internship in Psychology II,3,6,"(Prerequisite: Psychology Majors only, PSYC B495, and consent of instructor) Provides experience in a professional setting to facilitate integration of academic knowledge with real world. Required service hours: 150 - 300 (depending on credit hours).",Standard Letter,Independent Study,56
655,B480,Internship in Public Health,4,NULL,(Prerequisite: PUBH B450; Co-requisite: PUBH B460) A period of work-related education that allows students to reinforce classroom learning while gaining practical experience in a supervised setting where public health principles are applied.,Standard Letter,Internship / Cooperative,57
656,B495,Internship in Sociology,3,NULL,"(Prerequisite: Sociology Majors only, 15 hours of sociology, consent of instructor) Provides experience in a professional setting to facilitate integration of academic knowledge with real world experience. Requires at least 150 hours of service, online reflections and a final paper that demonstrates the ability to apply theories, concepts and principles of practice.",Standard Letter,Internship / Cooperative,59
657,B492,Internship IV,3,NULL,"(Prerequisite: HMSV B490 and permission of instructor, and approved contract with internship agency.) The application of theoretical foundations and human service principles in a supervised human service setting. Requires at least 120 hours of service, participation in seminars, written reflections, and a final paper that demonstrates the ability to apply interdisciplinary theories, concepts and principles of practice at a higher level than in the previous internships. (Maximum of two internships can be taken at the same site.)",Standard Letter,Internship / Cooperative,34
658,B469,Internship Secondary Math Edu,12,NULL,(Co-requisite: EDME B476) A program of observation and teaching secondary mathematics in the public schools under the supervision of university and public school personnel.,Pass/Fail,Internship / Cooperative,21
659,B201,Interpersonal Communication,3,NULL,Presents basic concepts for understanding communication in interpersonal relationships. It combines a theoretical approach with a skills approach to the study of interpersonal communication.,Standard Letter,Lecture,11
660,B201,Intro African-Amer Studies I,3,NULL,"A broad introduction to the history, culture, religion, institutions, politics, economics, arts, and psychology of people of African descent as developed from experience in both the old and new worlds.",Standard Letter,Lecture,2
661,B202,Intro African-Amer Studies II,3,NULL,NULL,Standard Letter,Lecture,2
662,B333,Intro Child Growth and Develop,3,NULL,"Basic course designed to familiarize the prospective teacher with the patterns of social, emotional, physical and intellectual growth of the individual. Development of these growth patterns from the prenatal stage to the onset of adolescence.",Standard Letter,Lecture,23
663,B463,Intro Digital Image Processing,3,NULL,"(Prerequisite: CSCI B104 or CSCI B145, MATH B230 or CSCI/MATH B280, STAT B340) Overview of digital image processing techniques and their applications; transforms, enhancement, analysis, segmentation, compression, color image processing; computer projects.",Standard Letter,Lecture,13
664,B335,Intro Educational Psychology,3,NULL,"(Prerequisite or Co-requisite: EDCI B100) This course will introduce pre-service teachers and education majors to psychological principles, theory and data upon which effective classroom practices are based, including general methods and techniques. A variety of teaching methods for classroom management will be considered with the focus on the teacher as a decision maker in planning, evaluation and control. Emphasis will be placed on student motivation, learning problems, individual differences and measurement.",Standard Letter,Lecture,23
665,B270L,Intro Environmental Bio Lab,1,NULL,"(Prerequisite or Co-requisite: BIOL B270) Demonstrations, data analyses, discussions and films relating to human ecology, resource use and environmental impact. Two hours per week. Not for major credit.",Standard Letter,Lab / Clinical,9
666,B270,Intro Environmental Biology,3,NULL,Basic ecological principles and the impacts of human population growth and technology. Not for major credit.,Standard Letter,Lecture,9
667,B300,Intro Exceptional Learner,3,NULL,"(Admission to the Professional Program or consent of Department Chair). A survey of the development of special education, the current legal guidelines with emphasis on public school mandates, the various clusters of exceptionalities: their definition, classification, identification, prevalence, causes, characteristics and educational needs, including mainstreaming in the regular classroom.",Standard Letter,Lecture,19
668,B323,Intro Exercise and Sports Scie,NULL,NULL,NULL,NULL,NULL,35
669,B202,Intro Front-End Web Developmen,3,NULL,"{ ISAT B202} (Prerequisite: CSCI B145 and B150) Application of programming techniques to the development of interactive, event-driven web applications. Brief coverage of document markup (HTML) and styling (CSS) essentials, followed by significant coverage of scripting languages, libraries, and frameworks for manipulating the Document Object Model.",Standard Letter,Lecture,13
670,B202,Intro Front-End Web Developmen,3,NULL,"{ CSCI B202} (Prerequisite: CSCI B145 and B150) Application of programming techniques to the development of interactive, event-driven web applications. Brief coverage of document markup (HTML) and styling (CSS) essentials, followed by significant coverage of scripting languages, libraries, and frameworks for manipulating the Document Object Model.",Standard Letter,Lecture,39
671,B355,Intro Health Care Management,3,NULL,"(Prerequisite: Junior Standing) This course will provide students with the opportunity to develop a general understanding of the health care industry and managerial and organizational aspects of health care organizations. Students will learn to apply management concepts, processes, and theoretical ideas in addressing management problems in health care organizations and in the operation of health care systems. Course activities will enable students to learn the importance of identifying and managing finite resources, complying with ethical and legal standards, and recognizing tradeoffs between patient care and financial accountability.",Standard Letter,Lecture,46
672,B190,Intro Journalism and Media,3,NULL,Introduction to practical skills of contributing to and running a print publication supported by analysis of various media and communication paradigms.,Standard Letter,Lecture,26
673,B131,Intro Math for Computational S,3,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in MATH B111 or consent) Sets, functions, analytic geometry, matrices and Euclidean spaces, infinites series, approximation, precision and error, counting and probability, graphs and trees; fundamental notions of differential and integral calculus.",Standard Letter,Lecture,45
674,B291,Intro Non-Western Literature,3,NULL,"{ CPLT B291} (Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) Selected masterpieces of non-Western literature. Works may range from antiquity to the present. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement). Appropriate for students from any discipline.",Standard Letter,Lecture,26
675,B291,Intro Non-Western Literature,3,NULL,{ ENGL B291} Selected masterpieces of non-western literature. Works may range from antiquity to the present. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).,Standard Letter,Lecture,12
676,B312,Intro Reading Hispanic Lit Txt,3,NULL,"(Prerequisite: Placement at 300 level on Phase II placement exam, grade of  C  or better in SPAN B301 or SPAN B302 or consent of instructor. Department consent required for transfer students.) Approaches to reading literary texts through carefully selected readings from different genres. Taught in Spanish.",Standard Letter,Lecture,60
677,B316,Intro to Business French,3,NULL,(Prerequisite: FREN B302 or consent of instructor) Practical oral and written communication in a commercial context; introduction to business terminology and correspondence.,Standard Letter,Lecture,29
